BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.29
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.29
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.30
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.30
BP_Enemy_C_0 X=4138.054 Y=4165.533 Z=261.250, BP_Citizen_C_3 X=4088.294 Y=4185.240 Z=255.000, 2024.05.08-16.17.30
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.31
BP_Enemy_C_0 X=4114.321 Y=4169.094 Z=261.250, BP_Citizen_C_3 X=4088.294 Y=4185.240 Z=255.000, 2024.05.08-16.17.31
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.31
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.31
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.32
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.32
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Enemy_C_2 X=4141.813 Y=4179.984 Z=255.000, 2024.05.08-16.17.33
BP_Citizen_C_9 X=4131.555 Y=4183.441 Z=263.750, BP_Broch_C_0 X=4177.500 Y=4222.500 Z=255.000, 2024.05.08-16.17.33
